s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_MMA,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-7.3834830E-003, 2.7136069E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3834830E-003,-6.4625635E-006, 0.0000000E+000, 0.0000000E+000
 2.0381196E-001, 1.1191121E-001,-9.6935227E-003, 1.2042514E-001,-2.4703427E-003,-1.3744343E-005, 0.0000000E+000, 0.0000000E+000, 9.1728059E-002, 2.2015873E-001,-6.5014970E-002, 6.9092566E-006, 0.0000000E+000
 4.0071407E-001, 4.0191781E-001,-8.1787346E-002,-5.4083751E-002,-2.5043695E-002,-3.2085236E-005, 0.0000000E+000, 0.0000000E+000, 2.9283087E-001, 2.4097093E-001,-1.9478182E-001, 1.9453150E-005, 0.0000000E+000
 6.0128891E-001, 7.1237521E-001,-2.4043002E-001, 4.9589896E-002,-3.9986174E-002,-4.1599744E-005, 0.0000000E+000, 0.0000000E+000, 4.3030776E-001, 4.8150732E-001,-3.0843695E-001, 3.2074586E-005, 0.0000000E+000
 8.0041075E-001, 1.0250030E+000,-3.3970277E-001,-4.7574730E-003,-3.4322866E-002,-4.2772542E-005, 0.0000000E+000, 0.0000000E+000, 6.5191676E-001, 6.4617716E-001,-4.0361583E-001, 4.4782247E-005,-6.4720731E-258
 1.0005882E+000, 1.3284267E+000,-4.4406457E-001, 1.8935976E-002,-4.3328423E-002,-3.4790101E-005, 0.0000000E+000, 0.0000000E+000, 8.4383517E-001, 8.5993490E-001,-4.7847124E-001, 5.7525906E-005,-2.4392374E-223
 1.2009965E+000, 1.9262701E+000,-6.4943927E-001, 2.0877056E-002,-7.6531862E-002, 2.0705299E-005, 0.0000000E+000, 0.0000000E+000, 1.2061617E+000, 1.2211967E+000,-5.3504597E-001, 8.7645331E-005,-3.5534502E-197
 1.4001299E+000, 2.9514893E+000,-1.0098005E+000, 3.2922273E-002,-1.3474932E-001, 1.8442846E-004, 0.0000000E+000, 0.0000000E+000, 1.8220433E+000, 1.8400462E+000,-5.7611488E-001, 1.3459045E-004,-1.6999532E-176
 1.6008400E+000, 3.8730043E+000,-1.3353869E+000, 4.3342138E-002,-1.7772076E-001, 4.4172335E-004, 0.0000000E+000, 0.0000000E+000, 2.3853579E+000, 2.4036805E+000,-6.0528810E-001, 1.8154266E-004,-2.6982988E-159
 1.8006122E+000, 4.9800305E+000,-1.7234106E+000, 5.5708521E-002,-2.4760286E-001, 7.8596778E-004, 0.0000000E+000, 0.0000000E+000, 3.0481148E+000, 3.0655115E+000,-6.2566331E-001, 2.2855716E-004,-1.4761469E-144
 2.0003846E+000, 5.8337012E+000,-2.0399961E+000, 6.3653073E-002,-3.6512081E-001, 1.2027245E-003, 0.0000000E+000, 0.0000000E+000, 3.4753805E+000, 3.4934402E+000,-6.3965816E-001, 2.7554856E-004,-4.1008689E-119
 2.2003214E+000, 6.9733390E+000,-2.4766192E+000, 7.4162961E-002,-4.9908001E-001, 1.6082096E-003, 0.0000000E+000, 0.0000000E+000, 4.0513061E+000, 4.0734109E+000,-6.4921996E-001, 3.1558053E-004,-2.8340711E-094
 2.4001391E+000, 7.6475192E+000,-2.7380575E+000, 8.1026544E-002,-6.3903350E-001, 1.9707435E-003, 0.0000000E+000, 0.0000000E+000, 4.3346941E+000, 4.3534255E+000,-6.5571147E-001, 3.4878873E-004,-4.1611035E-073
 2.6007996E+000, 8.4664832E+000,-3.0619338E+000, 8.7797318E-002,-8.1542769E-001, 2.3527123E-003, 0.0000000E+000, 0.0000000E+000, 4.5563861E+000, 4.6792718E+000,-6.6010510E-001, 3.8208952E-004,-1.1965302E-056
 2.8006172E+000, 9.0298371E+000,-3.3108607E+000, 9.2518057E-002,-9.7418359E-001, 2.7715911E-003, 0.0000000E+000, 0.0000000E+000, 4.7389234E+000, 4.8400824E+000,-6.6306588E-001, 4.1539149E-004,-1.8330362E-042
 3.0004346E+000, 1.0477726E+001,-3.8427582E+000, 1.0902693E-001,-1.0366938E+000, 3.2319284E-003, 0.0000000E+000, 0.0000000E+000, 5.7471189E+000, 5.7105331E+000,-6.6505281E-001, 4.4865077E-004,-1.1168113E-030
 3.2002523E+000, 1.0121755E+001,-3.8221240E+000, 1.0365256E-001,-1.0933884E+000, 3.7049217E-003, 0.0000000E+000, 0.0000000E+000, 5.3429673E+000, 5.3136000E+000,-6.6638826E-001, 4.8254269E-004,-4.2379332E-009
 3.4000697E+000, 1.1997882E+001,-4.4822184E+000,-3.0891385E+000,-1.1760500E+000, 4.2135313E-003, 0.0000000E+000, 0.0000000E+000, 3.1392429E+000, 3.2546886E+000,-6.5439392E-001, 5.1713992E-004,-2.3153493E-003
 3.6007304E+000, 1.2183860E+001,-4.6354789E+000,-2.7650449E+000,-1.2096415E+000, 4.7539252E-003, 0.0000000E+000, 0.0000000E+000, 3.5493606E+000, 3.5784482E+000,-6.5625851E-001, 5.5180959E-004,-2.1052779E-003
 3.8005478E+000, 1.3065050E+001,-4.9705675E+000,-3.7938183E+000,-1.2088820E+000, 5.2362843E-003, 0.0000000E+000, 0.0000000E+000, 2.9712621E+000, 3.0970185E+000,-6.5251834E-001, 5.8648049E-004,-2.8260019E-003
 4.0003653E+000, 1.3454031E+001,-5.0972828E+000,-4.7796714E+000,-1.3460391E+000, 5.8411220E-003, 0.0000000E+000, 0.0000000E+000, 2.1526423E+000, 2.2368784E+000,-6.4882998E-001, 6.2107772E-004,-3.5185244E-003
 4.2001829E+000, 1.4457428E+001,-5.4623649E+000,-4.7626669E+000,-1.2438627E+000, 6.2546065E-003, 0.0000000E+000, 0.0000000E+000, 2.8924007E+000, 2.9947882E+000,-6.4896375E-001, 6.5056003E-004,-3.5750351E-003
 4.4000006E+000, 1.5086185E+001,-5.6754322E+000,-6.1259050E+000,-1.2659876E+000, 6.6376850E-003, 0.0000000E+000, 0.0000000E+000, 1.9330206E+000, 2.0254984E+000,-6.4351476E-001, 6.7507479E-004,-4.6363766E-003
 4.6006613E+000, 1.5759598E+001,-6.0551632E+000,-5.2849974E+000,-1.3607727E+000, 6.9531691E-003, 0.0000000E+000, 0.0000000E+000, 2.9892267E+000, 3.0656174E+000,-6.4692309E-001, 6.9959957E-004,-4.0542872E-003
 4.8004785E+000, 1.5351973E+001,-5.8797117E+000,-4.9731917E+000,-1.4084617E+000, 7.3364830E-003, 0.0000000E+000, 0.0000000E+000, 2.9505530E+000, 3.0979443E+000,-6.4823573E-001, 7.2416641E-004,-3.8286248E-003
 5.0002961E+000, 1.8597409E+001,-7.0506506E+000,-7.4732018E+000,-1.5119719E+000, 7.8862082E-003, 0.0000000E+000, 0.0000000E+000, 2.5178780E+000, 2.5694706E+000,-6.3813623E-001, 7.4863983E-004,-5.6308700E-003
 5.2001138E+000, 1.5887506E+001,-6.1110004E+000,-5.9407721E+000,-1.3964036E+000, 8.3139541E-003, 0.0000000E+000, 0.0000000E+000, 2.2744496E+000, 2.4476438E+000,-6.4447212E-001, 7.6897783E-004,-4.4384290E-003
 5.4007745E+000, 1.7970725E+001,-7.0005272E+000,-7.1200204E+000,-1.4409335E+000, 8.4252730E-003, 0.0000000E+000, 0.0000000E+000, 2.2733673E+000, 2.4176695E+000,-6.3965579E-001, 7.8524952E-004,-5.3291770E-003
 5.6005917E+000, 1.8127821E+001,-7.0390562E+000,-6.7747266E+000,-1.5825858E+000, 8.7737298E-003, 0.0000000E+000, 0.0000000E+000, 2.5930960E+000, 2.7402266E+000,-6.4105142E-001, 8.0152184E-004,-5.0715060E-003
 5.8004093E+000, 2.0211718E+001,-7.7804781E+000,-6.2395026E+000,-1.4607092E+000, 8.9918274E-003, 0.0000000E+000, 0.0000000E+000, 4.6764357E+000, 4.7400199E+000,-6.4310519E-001, 8.1775966E-004,-4.6931029E-003
 6.0002270E+000, 1.7010378E+001,-6.6721926E+000,-9.9272162E+000,-1.6602790E+000, 9.2938765E-003, 0.0000000E+000, 0.0000000E+000,-1.2763069E+000,-1.2400158E+000,-6.2853685E-001, 8.3398384E-004,-7.2807385E-003
 6.2000442E+000, 2.3046787E+001,-8.8541604E+000,-9.5222304E+000,-1.7174475E+000, 9.3858240E-003, 0.0000000E+000, 0.0000000E+000, 2.8118813E+000, 2.9623342E+000,-6.2999588E-001, 8.4881706E-004,-6.9255195E-003
 6.4007049E+000, 1.4885511E+001,-5.9428967E+000,-7.6960559E+000,-1.4905588E+000, 9.9312749E-003, 0.0000000E+000, 0.0000000E+000,-1.2540545E-001,-2.3406898E-001,-6.3761892E-001, 8.6226518E-004,-5.5731569E-003
 6.6005225E+000, 2.5003594E+001,-9.6015386E+000,-9.2230315E+000,-1.5056667E+000, 1.0348131E-002, 0.0000000E+000, 0.0000000E+000, 4.3604345E+000, 4.6837051E+000,-6.3110151E-001, 8.7571430E-004,-6.7478424E-003
 6.8003402E+000, 1.9201439E+001,-7.5169316E+000,-9.2061614E+000,-1.6935228E+000, 1.0532509E-002, 0.0000000E+000, 0.0000000E+000, 1.0075744E+000, 7.9535541E-001,-6.3140655E-001, 8.8913504E-004,-6.6498814E-003
 7.0001574E+000, 2.2448201E+001,-8.7728253E+000,-6.6390710E+000,-1.7188958E+000, 1.0954709E-002, 0.0000000E+000, 0.0000000E+000, 5.0959413E+000, 5.3283635E+000,-6.4152686E-001, 9.0254513E-004,-4.8808726E-003
 7.2008181E+000, 1.9283819E+001,-7.5253790E+000,-6.5198988E+000,-1.8589850E+000, 1.0688624E-002, 0.0000000E+000, 0.0000000E+000, 3.3469858E+000, 3.3902445E+000,-6.4207149E-001, 9.1773401E-004,-4.8033906E-003
 7.4006357E+000, 2.0243930E+001,-7.9533488E+000,-8.7361615E+000,-1.5823340E+000, 1.1678049E-002, 0.0000000E+000, 0.0000000E+000, 1.8725135E+000, 1.9837639E+000,-6.3322441E-001, 9.3459727E-004,-6.3560532E-003
 7.6004534E+000, 2.4681111E+001,-9.4523417E+000,-1.3393353E+001,-1.6922582E+000, 1.0992959E-002, 0.0000000E+000, 0.0000000E+000, 1.5129724E-001, 1.5415096E-001,-6.1443656E-001, 9.5145411E-004,-9.6854134E-003
 7.8007536E+000, 1.9883841E+001,-7.6633450E+000,-1.1592558E+001,-1.9114807E+000, 1.1938484E-002, 0.0000000E+000, 0.0000000E+000,-1.5270450E+000,-1.2716040E+000,-6.2170421E-001, 9.6829820E-004,-8.5055137E-003
 8.0001793E+000, 2.4870091E+001,-9.5267325E+000,-8.6569654E+000,-1.9071848E+000, 1.2432868E-002, 0.0000000E+000, 0.0000000E+000, 4.6608396E+000, 4.7916412E+000,-6.3323763E-001, 9.8515075E-004,-6.4195040E-003
 8.2003632E+000, 2.1397936E+001,-8.2870880E+000,-6.4053621E+000,-2.3216288E+000, 1.1605690E-002, 0.0000000E+000, 0.0000000E+000, 4.3011872E+000, 4.3954626E+000,-6.4233637E-001, 9.9474623E-004,-4.8204848E-003
 8.4005470E+000, 2.0927061E+001,-8.0313615E+000,-7.8050331E+000,-2.0731712E+000, 1.1346961E-002, 0.0000000E+000, 0.0000000E+000, 2.8903062E+000, 3.0288420E+000,-6.3693209E-001, 9.9721035E-004,-5.6481181E-003
 8.6007318E+000, 2.2179863E+001,-8.4161629E+000,-7.6540822E+000,-2.0887443E+000, 1.1307995E-002, 0.0000000E+000, 0.0000000E+000, 3.9578921E+000, 4.0321819E+000,-6.3740863E-001, 9.9967508E-004,-5.6174599E-003
 8.8001575E+000, 2.3197019E+001,-8.6842735E+000,-1.0002407E+001,-2.0790652E+000, 1.1469000E-002, 0.0000000E+000, 0.0000000E+000, 2.2666851E+000, 2.4427421E+000,-6.2791256E-001, 1.0021334E-003,-7.3674096E-003
 9.0003414E+000, 2.4881775E+001,-9.4014068E+000,-1.0859437E+001,-2.4390725E+000, 1.1940097E-002, 0.0000000E+000, 0.0000000E+000, 1.9686335E+000, 2.1937985E+000,-6.2446185E-001, 1.0046023E-003,-7.9785064E-003
 9.2005253E+000, 2.7534868E+001,-1.0552982E+001,-8.7474544E+000,-2.3006451E+000, 1.2270323E-002, 0.0000000E+000, 0.0000000E+000, 5.8794550E+000, 5.9460570E+000,-6.3278183E-001, 1.0143310E-003,-6.4838772E-003
 9.4007092E+000, 2.5168540E+001,-9.6598378E+000,-8.5463094E+000,-2.4384778E+000, 1.2647534E-002, 0.0000000E+000, 0.0000000E+000, 4.5295382E+000, 4.5365629E+000,-6.3362193E-001, 1.0311796E-003,-6.3573645E-003
 9.6001348E+000, 2.2511356E+001,-8.7235403E+000,-8.7552551E+000,-2.2253160E+000, 1.2886927E-002, 0.0000000E+000, 0.0000000E+000, 2.5534832E+000, 2.8201314E+000,-6.3296333E-001, 1.0480021E-003,-6.4120555E-003
 9.8003187E+000, 2.2510173E+001,-8.6937144E+000,-8.7936036E+000,-2.0172387E+000, 1.2730176E-002, 0.0000000E+000, 0.0000000E+000, 2.8460192E+000, 3.0183461E+000,-6.3272243E-001, 1.0648237E-003,-6.5273888E-003
 1.0000503E+001, 2.5060216E+001,-9.6830406E+000,-1.1247380E+001,-2.2125169E+000, 1.3101966E-002, 0.0000000E+000, 0.0000000E+000, 1.8773690E+000, 1.9303811E+000,-6.2283520E-001, 1.0816986E-003,-8.2853444E-003
 1.0200686E+001, 2.6128750E+001,-1.0060203E+001,-1.1418940E+001,-2.3932992E+000, 1.3117507E-002, 0.0000000E+000, 0.0000000E+000, 2.0045657E+000, 2.2694249E+000,-6.2218451E-001, 1.0917610E-003,-8.3011772E-003
 1.0400112E+001, 2.5068336E+001,-9.5934904E+000,-1.3605779E+001,-2.0704007E+000, 1.3935516E-002, 0.0000000E+000, 0.0000000E+000,-3.2519015E-001,-1.8739872E-001,-6.1362761E-001, 1.0951640E-003,-9.7379246E-003
 1.0600296E+001, 2.9632239E+001,-1.1591226E+001,-1.4447486E+001,-2.3277359E+000, 1.3404270E-002, 0.0000000E+000, 0.0000000E+000, 1.2410579E+000, 1.2791956E+000,-6.1005567E-001, 1.0985863E-003,-1.0391216E-002
 1.0800481E+001, 2.5781637E+001,-9.8835068E+000,-1.1231372E+001,-2.3546047E+000, 1.2917644E-002, 0.0000000E+000, 0.0000000E+000, 1.8471186E+000, 2.3250704E+000,-6.2288581E-001, 1.1020136E-003,-8.2076184E-003
 1.1000665E+001, 2.4973585E+001,-9.6073094E+000,-1.0416944E+001,-2.0544242E+000, 1.3119338E-002, 0.0000000E+000, 0.0000000E+000, 3.2467334E+000, 2.9080263E+000,-6.2620561E-001, 1.1054606E-003,-7.5885300E-003
 1.1200090E+001, 2.6116315E+001,-1.0179237E+001,-8.1866710E+000,-2.2486695E+000, 1.3154017E-002, 0.0000000E+000, 0.0000000E+000, 5.2975720E+000, 5.5148917E+000,-6.3507339E-001, 1.1111414E-003,-6.0187712E-003
 1.1400274E+001, 2.5394465E+001,-9.8591281E+000,-1.2327458E+001,-2.1986610E+000, 1.3259524E-002, 0.0000000E+000, 0.0000000E+000, 9.6529804E-001, 1.0224776E+000,-6.1871790E-001, 1.1190511E-003,-8.8140702E-003
 1.1600458E+001, 2.4984045E+001,-9.7839174E+000,-1.2654704E+001,-2.2095734E+000, 1.3597982E-002, 0.0000000E+000, 0.0000000E+000, 6.7747134E-002, 3.4944812E-001,-6.1747842E-001, 1.1269821E-003,-8.9932775E-003
 1.1800642E+001, 3.0178304E+001,-1.1456451E+001,-1.2274596E+001,-2.3433461E+000, 1.3438355E-002, 0.0000000E+000, 0.0000000E+000, 3.9535178E+000, 4.1173498E+000,-6.1861518E-001, 1.1349902E-003,-8.8926723E-003
 1.2000068E+001, 2.5374134E+001,-1.0091610E+001,-8.9980445E+000,-2.4266565E+000, 1.4130271E-002, 0.0000000E+000, 0.0000000E+000, 3.7080436E+000, 3.8719526E+000,-6.3186586E-001, 1.1430300E-003,-6.5920255E-003
 1.2200252E+001, 2.5597550E+001,-1.0094466E+001,-9.0598745E+000,-2.3488279E+000, 1.3994262E-002, 0.0000000E+000, 0.0000000E+000, 4.2703333E+000, 4.1083756E+000,-6.3165621E-001, 1.1472980E-003,-6.5720819E-003
 1.2400435E+001, 2.6034930E+001,-1.0204988E+001,-1.2285344E+001,-2.0990657E+000, 1.4538923E-002, 0.0000000E+000, 0.0000000E+000, 1.3406394E+000, 1.4600709E+000,-6.1897420E-001, 1.1479179E-003,-8.6377992E-003
 1.2600620E+001, 2.7789415E+001,-1.0804196E+001,-1.4015616E+001,-2.2370625E+000, 1.4459856E-002, 0.0000000E+000, 0.0000000E+000, 6.2018976E-001, 7.4699919E-001,-6.1192926E-001, 1.1485542E-003,-9.9776244E-003
 1.2800046E+001, 2.9040409E+001,-1.1357743E+001,-1.7439465E+001,-2.1446297E+000, 1.5201592E-002, 0.0000000E+000, 0.0000000E+000,-2.1293686E+000,-1.8862266E+000,-5.9817311E-001, 1.1492931E-003,-1.2490676E-002
 1.3000230E+001, 3.1357898E+001,-1.2303498E+001,-1.2685140E+001,-2.4536464E+000, 1.4713988E-002, 0.0000000E+000, 0.0000000E+000, 3.8813514E+000, 3.9303289E+000,-6.1697026E-001, 1.1499918E-003,-9.1640556E-003
 1.3200414E+001, 2.5932707E+001,-1.0199569E+001,-1.0110918E+001,-2.5278661E+000, 1.5195259E-002, 0.0000000E+000, 0.0000000E+000, 2.6811860E+000, 3.1095490E+000,-6.2736496E-001, 1.1555461E-003,-7.3867197E-003
 1.3400598E+001, 2.8514691E+001,-1.1034865E+001,-1.0287754E+001,-2.4601454E+000, 1.4916471E-002, 0.0000000E+000, 0.0000000E+000, 5.0072817E+000, 4.7468431E+000,-6.2653559E-001, 1.1661185E-003,-7.5381655E-003
 1.3600023E+001, 2.6896574E+001,-1.0404542E+001,-1.0610593E+001,-2.5805882E+000, 1.5217703E-002, 0.0000000E+000, 0.0000000E+000, 3.1051560E+000, 3.3160680E+000,-6.2540292E-001, 1.1766385E-003,-7.6874466E-003
 1.3800207E+001, 2.6070429E+001,-9.9725447E+000,-1.6611385E+001,-2.3848839E+000, 1.6085779E-002, 0.0000000E+000, 0.0000000E+000,-3.1753115E+000,-2.8822987E+000,-6.0138946E-001, 1.1873299E-003,-1.2016436E-002
