Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
1,0.0300,0.0009,0.0212,0.0011,0.0914,0.0182,0.0055,0.0004,0.0059,0.0002,0.0000,0.0000,0.0000,0.0000,0.4796,0.0122,0.0000,0.0000,0.3359,0.0152,0.0000,0.0000,0.0243,0.0007,0.0017,0.0001,0.0001,0.0000,0.0002,0.0000,0.0004,0.0000,0.0001,0.0000,0.3595,0.0153,798,228,801,319
2,0.0359,0.0011,0.0217,0.0011,0.1091,0.0215,0.0064,0.0005,0.0093,0.0003,0.0000,0.0000,0.0000,0.0000,0.5582,0.0147,0.0000,0.0000,0.2276,0.0104,0.0000,0.0000,0.0255,0.0008,0.0018,0.0001,0.0001,0.0000,0.0002,0.0000,0.0004,0.0000,0.0002,0.0000,0.2517,0.0105,976,251,983,346
4,0.0385,0.0012,0.0248,0.0013,0.1169,0.0230,0.0068,0.0005,0.0058,0.0002,0.0000,0.0000,0.0000,0.0000,0.5923,0.0160,0.0000,0.0000,0.1773,0.0082,0.0000,0.0000,0.0311,0.0010,0.0020,0.0001,0.0001,0.0000,0.0001,0.0000,0.0004,0.0000,0.0003,0.0000,0.2048,0.0083,1117,234,1126,323
6,0.0407,0.0015,0.0233,0.0013,0.1626,0.0320,0.0068,0.0005,0.0064,0.0002,0.0000,0.0000,0.0000,0.0000,0.5946,0.0204,0.0000,0.0000,0.1275,0.0065,0.0000,0.0000,0.0310,0.0012,0.0025,0.0001,0.0002,0.0000,0.0001,0.0000,0.0004,0.0000,0.0005,0.0001,0.1540,0.0066,1204,228,1215,331
10,0.0423,0.0015,0.0204,0.0011,0.1510,0.0297,0.0074,0.0006,0.0200,0.0007,0.0000,0.0000,0.0000,0.0000,0.6491,0.0209,0.0000,0.0000,0.0757,0.0037,0.0000,0.0000,0.0275,0.0010,0.0021,0.0001,0.0001,0.0000,0.0001,0.0000,0.0004,0.0000,0.0006,0.0002,0.0988,0.0039,1292,214,1306,350
14,0.0428,0.0015,0.0196,0.0011,0.1417,0.0279,0.0077,0.0006,0.0251,0.0008,0.0000,0.0000,0.0000,0.0000,0.6730,0.0206,0.0000,0.0000,0.0567,0.0027,0.0000,0.0000,0.0270,0.0009,0.0020,0.0001,0.0001,0.0000,0.0001,0.0000,0.0003,0.0000,0.0008,0.0000,0.0788,0.0029,1334,209,1350,377
20,0.0388,0.0012,0.0132,0.0007,0.1264,0.0249,0.0080,0.0006,0.0553,0.0017,0.0000,0.0000,0.0000,0.0000,0.6985,0.0196,0.0000,0.0000,0.0347,0.0016,0.0000,0.0000,0.0195,0.0006,0.0013,0.0001,0.0001,0.0000,0.0001,0.0000,0.0003,0.0000,0.0005,0.0001,0.0497,0.0018,1339,228,1354,438
30,0.0296,0.0007,0.0041,0.0002,0.0730,0.0146,0.0086,0.0006,0.1082,0.0024,0.0000,0.0000,0.0000,0.0000,0.7564,0.0151,0.0000,0.0000,0.0080,0.0003,0.0000,0.0000,0.0077,0.0002,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0127,0.0004,1202,290,1213,531
45,0.0181,0.0004,0.0008,0.0000,0.0336,0.0071,0.0088,0.0006,0.1524,0.0029,0.0000,0.0000,0.0000,0.0000,0.7797,0.0122,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0015,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0020,0.0001,953,321,958,547
60,0.0120,0.0003,0.0000,0.0000,0.0229,0.0051,0.0085,0.0006,0.1710,0.0031,0.0000,0.0000,0.0000,0.0000,0.7812,0.0117,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,737,286,740,470
75,0.0099,0.0002,0.0000,0.0000,0.0181,0.0042,0.0089,0.0006,0.1797,0.0032,0.0000,0.0000,0.0000,0.0000,0.7794,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,591,181,592,346
