Soot volume fraction (ppm),10_cm,5_cm,0_cm
2.50E-02,2.00E+01,1.82E+01,1.03E+01
7.50E-02,3.33E-03,7.26E-01,4.85E+00
1.25E-01,0.00E+00,3.51E-01,2.68E+00
1.75E-01,0.00E+00,2.19E-01,1.15E+00
2.25E-01,0.00E+00,1.34E-01,5.38E-01
2.75E-01,0.00E+00,1.08E-01,2.66E-01
3.25E-01,0.00E+00,6.33E-02,1.12E-01
3.75E-01,0.00E+00,5.67E-02,4.22E-02
4.25E-01,0.00E+00,2.44E-02,1.67E-02
4.75E-01,0.00E+00,2.44E-02,1.00E-02
5.25E-01,0.00E+00,1.33E-02,2.22E-03
5.75E-01,0.00E+00,8.89E-03,0.00E+00
6.25E-01,0.00E+00,1.00E-02,2.22E-03
6.75E-01,0.00E+00,8.89E-03,2.22E-03
7.25E-01,0.00E+00,5.56E-03,4.44E-03
7.75E-01,0.00E+00,3.33E-03,5.56E-03
8.25E-01,0.00E+00,4.44E-03,0.00E+00
8.75E-01,0.00E+00,5.56E-03,0.00E+00
9.25E-01,0.00E+00,4.44E-03,0.00E+00
9.75E-01,0.00E+00,2.22E-03,0.00E+00
1.02E+00,0.00E+00,0.00E+00,0.00E+00
1.08E+00,0.00E+00,0.00E+00,0.00E+00
1.12E+00,0.00E+00,0.00E+00,0.00E+00
1.18E+00,0.00E+00,0.00E+00,0.00E+00
1.23E+00,0.00E+00,0.00E+00,0.00E+00
1.27E+00,0.00E+00,0.00E+00,0.00E+00
1.33E+00,0.00E+00,0.00E+00,0.00E+00
1.38E+00,0.00E+00,0.00E+00,0.00E+00
1.43E+00,0.00E+00,0.00E+00,0.00E+00
1.48E+00,0.00E+00,0.00E+00,0.00E+00
1.52E+00,0.00E+00,0.00E+00,0.00E+00
1.58E+00,0.00E+00,0.00E+00,0.00E+00
1.62E+00,0.00E+00,0.00E+00,0.00E+00
1.68E+00,0.00E+00,0.00E+00,0.00E+00
1.73E+00,0.00E+00,0.00E+00,0.00E+00
1.77E+00,0.00E+00,0.00E+00,0.00E+00
1.83E+00,0.00E+00,0.00E+00,0.00E+00
1.88E+00,0.00E+00,0.00E+00,0.00E+00
1.93E+00,0.00E+00,0.00E+00,0.00E+00
1.98E+00,0.00E+00,0.00E+00,0.00E+00
2.03E+00,0.00E+00,0.00E+00,0.00E+00
2.08E+00,0.00E+00,0.00E+00,0.00E+00
2.12E+00,0.00E+00,0.00E+00,0.00E+00
2.17E+00,0.00E+00,0.00E+00,0.00E+00
2.23E+00,0.00E+00,0.00E+00,0.00E+00
2.28E+00,0.00E+00,0.00E+00,0.00E+00
2.33E+00,0.00E+00,0.00E+00,0.00E+00
2.38E+00,0.00E+00,0.00E+00,0.00E+00
2.43E+00,0.00E+00,0.00E+00,0.00E+00
2.48E+00,0.00E+00,0.00E+00,0.00E+00
2.53E+00,0.00E+00,0.00E+00,0.00E+00
2.58E+00,0.00E+00,0.00E+00,0.00E+00
2.62E+00,0.00E+00,0.00E+00,0.00E+00
2.68E+00,0.00E+00,0.00E+00,0.00E+00
2.73E+00,0.00E+00,0.00E+00,0.00E+00
2.78E+00,0.00E+00,0.00E+00,0.00E+00
2.83E+00,0.00E+00,0.00E+00,0.00E+00
2.88E+00,0.00E+00,0.00E+00,0.00E+00
2.93E+00,0.00E+00,0.00E+00,0.00E+00
2.98E+00,0.00E+00,0.00E+00,0.00E+00
3.03E+00,0.00E+00,0.00E+00,0.00E+00
3.08E+00,0.00E+00,0.00E+00,0.00E+00
3.12E+00,0.00E+00,0.00E+00,0.00E+00
3.18E+00,0.00E+00,0.00E+00,0.00E+00
3.23E+00,0.00E+00,0.00E+00,0.00E+00
3.28E+00,0.00E+00,0.00E+00,0.00E+00
3.33E+00,0.00E+00,0.00E+00,0.00E+00
3.38E+00,0.00E+00,0.00E+00,0.00E+00
3.43E+00,0.00E+00,0.00E+00,0.00E+00
3.48E+00,0.00E+00,0.00E+00,0.00E+00
3.53E+00,0.00E+00,0.00E+00,0.00E+00
3.58E+00,0.00E+00,0.00E+00,0.00E+00
3.62E+00,0.00E+00,0.00E+00,0.00E+00
3.68E+00,0.00E+00,0.00E+00,0.00E+00
3.73E+00,0.00E+00,0.00E+00,0.00E+00
3.78E+00,0.00E+00,0.00E+00,0.00E+00
3.83E+00,0.00E+00,0.00E+00,0.00E+00
3.88E+00,0.00E+00,0.00E+00,0.00E+00
3.93E+00,0.00E+00,0.00E+00,0.00E+00
3.98E+00,0.00E+00,0.00E+00,0.00E+00
4.03E+00,0.00E+00,0.00E+00,0.00E+00
4.08E+00,0.00E+00,0.00E+00,0.00E+00
4.12E+00,0.00E+00,0.00E+00,0.00E+00
4.18E+00,0.00E+00,0.00E+00,0.00E+00
4.22E+00,0.00E+00,0.00E+00,0.00E+00
4.28E+00,0.00E+00,0.00E+00,0.00E+00
4.33E+00,0.00E+00,0.00E+00,0.00E+00
4.38E+00,0.00E+00,0.00E+00,0.00E+00
4.43E+00,0.00E+00,0.00E+00,0.00E+00
4.47E+00,0.00E+00,0.00E+00,0.00E+00
4.53E+00,0.00E+00,0.00E+00,0.00E+00
4.58E+00,0.00E+00,0.00E+00,0.00E+00
4.62E+00,0.00E+00,0.00E+00,0.00E+00
4.68E+00,0.00E+00,0.00E+00,0.00E+00
4.72E+00,0.00E+00,0.00E+00,0.00E+00
4.78E+00,0.00E+00,0.00E+00,0.00E+00
4.83E+00,0.00E+00,0.00E+00,0.00E+00
4.88E+00,0.00E+00,0.00E+00,0.00E+00
4.93E+00,0.00E+00,0.00E+00,0.00E+00
4.97E+00,0.00E+00,0.00E+00,0.00E+00
